set P :=
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
;

param: WG lp wp hp :=
   1 70.0 4.5 5.6 10.5
   2 70.0 4.5 5.6 10.5
   3 70.0 4.5 5.6 10.5
   4 41.0 2.5 2.5 9.0
   5 41.0 2.5 2.5 9.0
   6 41.0 2.5 2.5 9.0
   7 41.0 2.5 2.5 9.0
   8 41.0 2.5 2.5 9.0
   9 41.0 2.5 2.5 9.0
   10 41.0 2.5 2.5 9.0
   11 41.0 2.5 2.5 9.0
   12 41.0 2.5 2.5 9.0
   13 41.0 2.5 2.5 9.0
   14 41.0 2.5 2.5 9.0
   15 41.0 2.5 2.5 9.0
;

set B :=
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
;

param: LB WB HB CB alpha :=
   1 28 15 15 6300 32
   2 28 15 15 6300 32
   3 28 15 15 6300 32
   4 28 15 15 6300 32
   5 28 15 15 6300 32
   6 28 15 15 6300 32
   7 28 15 15 6300 32
   8 28 15 15 6300 32
   9 28 15 15 6300 32
   10 28 15 15 6300 32
   11 42 32 26 34944 94
   12 42 32 26 34944 94
   13 42 32 26 34944 94
   14 42 32 26 34944 94
   15 42 32 26 34944 94
   16 42 32 26 34944 94
   17 42 32 26 34944 94
   18 42 32 26 34944 94
   19 42 32 26 34944 94
   20 42 32 26 34944 94
   21 45.7 45.7 40.6 84793 156
   22 45.7 45.7 40.6 84793 156
   23 45.7 45.7 40.6 84793 156
   24 45.7 45.7 40.6 84793 156
   25 45.7 45.7 40.6 84793 156
   26 45.7 45.7 40.6 84793 156
   27 45.7 45.7 40.6 84793 156
   28 45.7 45.7 40.6 84793 156
   29 45.7 45.7 40.6 84793 156
   30 45.7 45.7 40.6 84793 156
   31 61 46 61 171166 469
   32 61 46 61 171166 469
   33 61 46 61 171166 469
   34 61 46 61 171166 469
   35 61 46 61 171166 469
   36 61 46 61 171166 469
   37 61 46 61 171166 469
   38 61 46 61 171166 469
   39 61 46 61 171166 469
   40 61 46 61 171166 469
;

param M     := 1000000; #large constant
param alpha_supp := 1;# minimum percentage of its bottom face supported by other items' top faces
