set P :=
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
;
param:	WG	lp	wp	hp	:=
1	24.16666667	9.0	6.5	2.0
2	24.16666667	9.0	6.5	2.0
3	24.16666667	9.0	6.5	2.0
4	24.16666667	9.0	6.5	2.0
5	24.16666667	9.0	6.5	2.0
6	24.16666667	9.0	6.5	2.0
7	24.16666667	9.0	6.5	2.0
8	24.16666667	9.0	6.5	2.0
9	24.16666667	9.0	6.5	2.0
10	24.16666667	9.0	6.5	2.0
11	24.16666667	9.0	6.5	2.0
12	24.16666667	9.0	6.5	2.0
13	24.16666667	9.0	6.5	2.0
14	24.16666667	9.0	6.5	2.0
15	24.16666667	9.0	6.5	2.0
16	0.2	9.3	2.0	6.5
17	0.2	9.3	2.0	6.5
18	0.2	9.3	2.0	6.5
19	0.2	9.3	2.0	6.5
20	0.2	9.3	2.0	6.5
21	0.2	9.3	2.0	6.5
22	0.2	9.3	2.0	6.5
23	0.2	9.3	2.0	6.5
24	0.2	9.3	2.0	6.5
25	0.2	9.3	2.0	6.5
;
set	B	:=
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80
;
param:	LB	WB	HB	CB	alpha	:=
1	28	15	15	6300	32	
2	42	32	26	34944	94	
3	45.7	45.7	40.6	84793	156	
4	61	46	61	171166	469	
5	28	15	15	6300	32	
6	42	32	26	34944	94	
7	45.7	45.7	40.6	84793	156	
8	61	46	61	171166	469	
9	28	15	15	6300	32	
10	42	32	26	34944	94	
11	45.7	45.7	40.6	84793	156	
12	61	46	61	171166	469	
13	28	15	15	6300	32	
14	42	32	26	34944	94	
15	45.7	45.7	40.6	84793	156	
16	61	46	61	171166	469	
17	28	15	15	6300	32	
18	42	32	26	34944	94	
19	45.7	45.7	40.6	84793	156	
20	61	46	61	171166	469	
21	28	15	15	6300	32	
22	42	32	26	34944	94	
23	45.7	45.7	40.6	84793	156	
24	61	46	61	171166	469	
25	28	15	15	6300	32	
26	42	32	26	34944	94	
27	45.7	45.7	40.6	84793	156	
28	61	46	61	171166	469	
29	28	15	15	6300	32	
30	42	32	26	34944	94	
31	45.7	45.7	40.6	84793	156	
32	61	46	61	171166	469	
33	28	15	15	6300	32	
34	42	32	26	34944	94	
35	45.7	45.7	40.6	84793	156	
36	61	46	61	171166	469	
37	28	15	15	6300	32	
38	42	32	26	34944	94	
39	45.7	45.7	40.6	84793	156	
40	61	46	61	171166	469	
41	28	15	15	6300	32	
42	42	32	26	34944	94	
43	45.7	45.7	40.6	84793	156	
44	61	46	61	171166	469	
45	28	15	15	6300	32	
46	42	32	26	34944	94	
47	45.7	45.7	40.6	84793	156	
48	61	46	61	171166	469	
49	28	15	15	6300	32	
50	42	32	26	34944	94	
51	45.7	45.7	40.6	84793	156	
52	61	46	61	171166	469	
53	28	15	15	6300	32	
54	42	32	26	34944	94	
55	45.7	45.7	40.6	84793	156	
56	61	46	61	171166	469	
57	28	15	15	6300	32	
58	42	32	26	34944	94	
59	45.7	45.7	40.6	84793	156	
60	61	46	61	171166	469	
61	28	15	15	6300	32	
62	42	32	26	34944	94	
63	45.7	45.7	40.6	84793	156	
64	61	46	61	171166	469	
65	28	15	15	6300	32	
66	42	32	26	34944	94	
67	45.7	45.7	40.6	84793	156	
68	61	46	61	171166	469	
69	28	15	15	6300	32	
70	42	32	26	34944	94	
71	45.7	45.7	40.6	84793	156	
72	61	46	61	171166	469	
73	28	15	15	6300	32	
74	42	32	26	34944	94	
75	45.7	45.7	40.6	84793	156	
76	61	46	61	171166	469	
77	28	15	15	6300	32	
78	42	32	26	34944	94	
79	45.7	45.7	40.6	84793	156	
80	61	46	61	171166	469	
;
param	alpha_supp	:= 1;
